title,video_len,views,date_time,video_link,thumbnail_link,likes,Description
"Maruti Grand Vitara | Hybrid SUV  2022 | Mileage, Features, Interiors | Auto Review",15:39,1 hour ago,1 hour ago,https://www.youtube.com/watch?v=Ab3qZKvp2do,https://i.ytimg.com/vi/Ab3qZKvp2do/hqdefault.jpg,18,"Marking Maruti Suzuki’s entry to the cut-throat mid-size SUV segment is the new Grand Vitara. Identical twin to the Toyota Hyryder, can the Grand Vitara’s hybrid powertrain, efficiency-oriented nature and phenomenal off-roading prowess convert the vast cohort of Creta and Seltos buyers? Can the Grand Vitara make Hybrids mainstream? Watch the video to find out! #marutisuzuki #carreview #moneycontrol #grandvitara #drivereport "
"Rent Of ₹65,000 For 3BHK In Bhendi Bazar, Mumbai | The Tenant",11:34,3 hours ago,3 hours ago,https://www.youtube.com/watch?v=CXMg4h5TEkM,https://i.ytimg.com/vi/CXMg4h5TEkM/hqdefault.jpg,87,"From a small room in a dilapidated building into a 3BHK apartment in a new building. In this episode of The Tenant, we talked to a family which has seen a transformational lifestyle experience. We show you an apartment in Bhendi Bazaar -- a locality infamous for once being the location where fugitive gangster Dawood Ibrahim had several properties. Our Tenant says that the location may have several challenges but they get all sorted once they enter their new home. Watch the whole episode! #realestate #mumbai #TheTenant #property #rent  "
Live | PM Modi Launches New National Logistics Policy On His Birthday | New Reform To Cut Costs,34:03,Streamed 17 hours ago,Streamed 17 hours ago,https://www.youtube.com/watch?v=pc4L6W2rM2Q,https://i.ytimg.com/vi/pc4L6W2rM2Q/hqdefault.jpg,144,"Prime Minister Narendra Modi is set to announce the new National Logistics Policy today. The policy is expected to promote the seamless movement of goods and streamline rules and address supply-side issues in the sector. Most importantly, it'll help provide a roadmap to lower costs like fuel and logistics, enhancing the competitiveness of the industry. The policy draft was released for consultation in 2019 but was delayed due to the pandemic. #live #pmmodi #modi #nlp #moneycontrol #moneycontrolive "
"Weekend Guide: What to Watch, Read, Listen & More!",3:44,1 day ago,1 day ago,https://www.youtube.com/watch?v=m4Hwph5ZzaQ,https://i.ytimg.com/vi/m4Hwph5ZzaQ/hqdefault.jpg,24,"Detailed guide to all the latest OTT releases, book recommendations, podcasts and exciting activities to indulge over the weekend! This weekend, you can pick from a host of Netflix & Amazon prime releases, a book on making better decisions, listening to podcasts, attending fun events & much more! #weekend #AmazonPrime #Netflix #OTT #DisneyHotstar #topreads#sonyliv #mxplayer  "
LIVE: Finance Minister Nirmala Sitharaman At 75th AGM Of IBA | FM Sitharaman | Banking Sector,31:55,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=mCu5s05LWSo,https://i.ytimg.com/vi/mCu5s05LWSo/hqdefault.jpg,48,Finance Minister Nirmala Sitharaman delivers the keynote address at the 75th AGM of the Indian Banks Association in Mumbai. FM will also felicitate Top Performers of EASE 4.0 Awards by IBA. #live #nirmalasitharaman #nirmala #nirmala_sitharaman #moneycontrol #moneycontrolive 
#Markets ended the week on a weak note and fell sharply today #sensex #nifty #moneycontrol #stocks,SHORTS,1 day ago,1 day ago,https://www.youtube.com/shorts/t6SA5Pj8QDA,https://i.ytimg.com/vi/t6SA5Pj8QDA/hq720_2.jpg,47,
iPhone 14 Goes On Sale Today! Here’s What % Of Your Country’s Average Salary It Costs,SHORTS,1 day ago,1 day ago,https://www.youtube.com/shorts/bOxHdZAGQ1w,https://i.ytimg.com/vi/bOxHdZAGQ1w/hq720_2.jpg,49,
KEC International: Why You Should Buy The Stock Despite Recent Recovery | Ideas For Profit,3:03,1 day ago,1 day ago,https://www.youtube.com/watch?v=BuQKgebPdf4,https://i.ytimg.com/vi/BuQKgebPdf4/hqdefault.jpg,20,"Shares of KEC International made a bottom at around Rs 390 and then moved up to current level of around Rs 450. Albeit the recovery, the stock still offers great value. It is quoting at 14 times its FY24 estimated earnings, around its long-term average, which is quite attractive. Here’s why #kecinternational #stockmarket #moneycontrol #investors #businessnew "
"Stock Market Live: Sensex and the Nifty have dropped over 2% | Bajar Gupshup | Sept 16, 2022",6:28,1 day ago,1 day ago,https://www.youtube.com/watch?v=qYQQq5_z3N4,https://i.ytimg.com/vi/qYQQq5_z3N4/hqdefault.jpg,91,"Both the BSE Sensex and Nifty have dropped over 2.3% in the last three trading sessions
IT stocks have been reeling since the start of the year.  Watch the video to know about today's market action.  "
Stock Market Live: Two Smallcap Stocks To Watch Out For | Markets With Santo & CJ,21:41,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=Ri9I-1wnelc,https://i.ytimg.com/vi/Ri9I-1wnelc/hqdefault.jpg,60,"Smallcap stocks have been all the rage recently and CJ has dug out two stocks that should be on investors' radar. Plus catch Santo, who has compiled a list of stocks where bears will hunt for gains in the coming weeks. #live #smallcap #smallcapstock #stockmarket #sharemarket #nifty #sensex #nse #bse #marketslive #businessnews #closingbell #marketsnews "
Commodity Live: Gold at 6-Month Low; Should You Buy Now?,5:55,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=kmvlWQUpZUM,https://i.ytimg.com/vi/kmvlWQUpZUM/hqdefault.jpg,19,"Gold dropped to its lowest level since April 2021, hurt by elevated US Treasury yields and a firm dollar, as bets of another hefty Fed rate hike eroded bullion's appeal. Is it a good time to buy gold?  Find out here with Karunya Rao and Manisha Gupta.  #live #gold #goldprice #goldpricetoday #moneycontrol #commodities #commoditymarket #marketsLIVE  "
Stock Market Live: Bank Stocks On Fire! Which Lender's Stock To Buy? | Markets With Santo & CJ,19:16,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=N9obYsIOgBc,https://i.ytimg.com/vi/N9obYsIOgBc/hqdefault.jpg,66,"Shares of banks have been ranked outperformers in the last few weeks and Santo is today discussing two lenders he is bullish on. But, CJ sees the need for Santo to taper his optimism in short term. Watch the duo discuss the prospects of the banking sector plus share their thoughts on Patanjali Foods and MTAR Tech. #live #bank #patanjali #stocks #stockmarket #sharemarket #acc#trent #moneycontrol #marketslive #openingbell #business #businessnews  "
"Stock Market Live: What’s Driving Tyre Shares Higher? | Adani Port, Tata Power & PVR In Focus",27:10,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=WJLSnfSZKhA,,85,"European markets saw a choppy trade yesterday, closing with mixed returns for the day. Stoxx600 was down 0.2%, after flipping between mild losses and gains during the morning. Tyre stocks were zooming ahead – why were the stocks under pressure past 1.5 years and what has changed now – we find out on the show. Stocks in focus- Adani Port, Tata Power, MTAR Tech and PVR. #live #ceat #adani #tata #tatapower #pvr #nifty #stockmarket #pharmagsk #sundramfasteners #stockmarketlive #moneycontrol #MorningTrade #sharemarket #marketslive #marketswithmc  "
#SustainableIsAttainable with Tata Power and News18Network,0:45,2 days ago,2 days ago,https://www.youtube.com/watch?v=WE1Pal0s2s8,,3,"You hold the power to be the difference that makes our world greener and cleaner for the generations to come. Be a part of the much-needed revolution, as we design the path to a sustainable future only with Tata Power and #News18Network’s initiative #SustainableIsAttainable. Tata Power handles to tag are below.
@tata-power - LinkedIn
@tatapowercompanyltd - IG
@tatapower - facebook
@TataPower – twitter [Partnered] "
"Adani Ports, Future Lifestyle, UPL And More: Top Stocks To Watch On Sep 16, 2022",3:04,2 days ago,2 days ago,https://www.youtube.com/watch?v=ZPfWYHNze1U,,65,"These are the stocks that will possibly be in the spotlight during trading hours on September 16, Friday. We explain the reasons why these stocks are buzzing before the Opening Bell and the factors that could come into play in trade. Check out this curated list of buzzing stocks from the Moneycontrol markets team and why they are in the news. ​#stockmarket #sharemarket #nifty #moneycontrol​​ "
Namibian Cheetahs Fly To India On PM Modi’s Birthday | India Gets Ready To Welcome Cheetahs,5:56,2 days ago,2 days ago,https://www.youtube.com/watch?v=5viNZNfg6gs,,306,"Eight Cheetahs. A cargo jet. A historic journey. Eight cheetahs will be brought to Jaipur in Rajasthan from Namibia in Africa on September 17 in a cargo aircraft as part of an inter-continental translocation project and flown to the Kuno-Palpur National Park (KPNP) in Sheopur district.  The fastest animal on land was declared extinct from India in 1952. However, the Indian Government has signed a pact with Namibia and South Africa to reintroduce the wild cats in the country.  Here’s a look at their journey from Namibia to India. #cheetahs #cheetahinindia #moneycontrol #cheetahreintroduction
"
Defence Stocks Are Outperforming; What Are The Triggers? | Hot Stocks | Stock Market,3:47,2 days ago,2 days ago,https://www.youtube.com/watch?v=PlRqQ3uN5a4,,163,"Defence stocks have seen a stellar upmove as investors have been lapping up shares such as Bharat Dynamics, Bharat Electronics, Ashok Leyland and Hindustan Aeronautics. Most of these shares have rallied anywhere between 34-123% in 2022 so far. What is leading to this spectacular rally and what's in store for defence companies going forward? Watch this video to know more. #stocks #moneycontrol #stockmarket #defence #stockrecommendation  "
Visaka Industries: Why Current Stock Valuation Can Expand Over Medium Term | Ideas For Profit,4:27,2 days ago,2 days ago,https://www.youtube.com/watch?v=xRC8gzjtazY,,44,Visaka Industries posted a jump of 37% in revenue for Q1FY23 on a year-on-year basis as positive market momentum in the rural economy translated into healthy volume growth in the core business. MC Pro suggests long-term investors to keep the stock on radar as the current valuations offer significant scope for further multiple expansion in the medium term. Here’s why #visakaindustries #stockmarket #moneycontrol #investors #businessnews 
"Stock Market Live: Sensex Slips 400 Points, Nifty Ends Below 17,900 | Bajar Gupshup | Sept 15, 2022",3:53,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=XP42leq5RpA,,49,"Sensex ended 412 points in the red at 59,934. Nifty lost 0.70%, ending at 17,877. About 1648 shares advanced, 1754 shares declined, and 113 shares were unchanged. Among sectors, Nifty IT was the top loser with Infosys and Tech Mahindra losing 3% each. Autos were in the fast lane as Maruti Suzuki surged 3.2 percent. Eicher Motors rallied 2.7 percent to join the Rs 1 trillion market cap club.  Watch the video to know about today's market action. #live #stockmarket #sharemarket #closingbell #moneycontrol #marketslive "
Stock Market Live: Reliance Infra Will The Rally Sustain? | Markets With Santo & CJ,20:03,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=AgFAKWKsS-8,,46,"Reliance Infrastructure has seen a revival in interest from investors but will the rally sustain going ahead. Catch Santo & CJ debate what lies ahead for the Anil Ambani Group company. Plus hear the duo's thoughts on ABB India, Honeywell Automation and CEAT. #live #reliance #relianceinfra #abbindia #honeywellautomation #ceat#stockmarket #sharemarket #nifty #sensex #nse #bse #marketslive #businessnews #closingbell #marketsnews "
Commodity Live: Crude Headed For Weekly Gain On Supply Disruptions,5:13,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=vKxEaNg7suU,,22,Crude oil has come off the lows but is struggling to build on the momentum amid mixed factors. Karunya Rao and Manisha Gupta decode that for you.  #live #crudeoil #crudeoilprices #moneycontrol #commodities #commoditymarket #marketsLIVE  
Ethereum Merge: Why It's A Key Milestone In Crypto World & Impact Bitcoin & Other Cryptocurrencies,12:24,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=M_iVUNDaar4,,30,"The Ethereum blockchain is due to merge with a separate blockchain, radically changing the way it processes transactions and how new ether tokens are created. What makes the merge so important and how will it operate? Find out here with Karunya Rao and Rahul Jagtiani, Consulting Editor, Moneycontrol. #live #ethereum #mergeparty #ethmerge #moneycontrol #moneycontrolive "
9 Personal Finance Rules That Can Help You Double Your Money - Part 1 | Personal Finance,5:18,3 days ago,3 days ago,https://www.youtube.com/watch?v=nTRBko9U4sk,,255,"Doubling your money sounds like a difficult goal to achieve. However, it isn’t necessarily impossible. The right strategy and a little bit of patience can go a long way in helping you turn it into a reality. In this three-part series, we will list out 9 golden personal finance rules that will help you in your long-term financial planning as well as your retirement planning. The method you choose depends largely on your appetite for risk and your timeline for investing. You may also consider adopting a mix of these strategies to achieve your goal of doubling your money. Watch this video to learn more about the top 3 rules that every investor should follow to be able to double his money. #money #investing #personalfinance #moneycontrol  "
Stock Market Live: Will Tamilnad Bank's Listing Disappoint? | Markets With Santo & CJ,21:06,Streamed 3 days ago,Streamed 3 days ago,https://www.youtube.com/watch?v=SAYTXJlHx1I,,38,"Tamilnad Mercantile Bank is set to debut on Dalal Street but CJ is not excited as he expects a muted debut. Santo, however, sees chances of long-term gains. Watch the duo discuss the prospects of the debutant plus share their thoughts on ACC and Trent. #stockmarket #sharemarket #acc#trent #moneycontrol #marketslive #openingbell #business #businessnews  "
"Stock Market Live: Right Time To Buy Metal Shares? | Balaji Amines, HFCL, Sundram Fasteners In Focus",24:16,Streamed 3 days ago,Streamed 3 days ago,https://www.youtube.com/watch?v=nmd_vNYYx1o,,106,"European markets closed lower as investors continued to digest the latest inflation data out of the US. Stoxx 600 ended 0.8% lower, with almost all sectors and all major bourses sliding into negative territory. Stocks in focus Balaji Amines, HFCL, GSK Pharma and Sundram Fasteners #live #nifty #balajiamines #hcfl #stockmarket #pharmagsk #sundramfasteners #stockmarketlive #moneycontrol #MorningTrade #sharemarket #marketslive #marketswithmc  "
"Tamilnad Mercantile Bank, Tata Steel, HFCL And More: Top Stocks To Watch On Sep 15, 2022",3:36,3 days ago,3 days ago,https://www.youtube.com/watch?v=hpcyXPXA3cw,,54,"These are the stocks that will possibly be in the spotlight during trading hours on September 15, Thursday. We explain the reasons why these stocks are buzzing before the Opening Bell and the factors that could come into play in trade. Check out this curated list of buzzing stocks from the Moneycontrol markets team and why they are in the news.  ​#stockmarket #sharemarket #nifty #moneycontrol​ "
Byju's FY21 Results Out After A 12-Month Wait: Decoding The Edtech Startup's Surprising Losses,3:01,3 days ago,3 days ago,https://www.youtube.com/watch?v=xvF972Y0jOs,,54,"Byju's FY21 results out | One of the most anticipated results in India's start-up ecosystem comes with an unexpected element - Byju's has posted a surprising fall in its FY21 revenue. The company's revenue has fallen 3% YoY, and its losses have surged nearly 17 times as compared to the previous year. The delay in Byju's financials drew the attention of the government too - the company missed at least 4 deadlines. What do these results mean for the company? Watch this video for all the details!​ #byju #startup #moneycontrol #fy21result "
Why Vedanta-Foxconn Picked Gujarat For Semiconductor Unit | Anil Agarwal | Vedanta-Foxconn Project,3:50,3 days ago,3 days ago,https://www.youtube.com/watch?v=zhrWd8vor_o,,166,"The Vedanta-Foxconn joint venture has selected Gujarat for setting up its display fabrication and semiconductor facility with an investment of ₹1.54 lakh crores. Amid outrage from the Maharashtra opposition, Anil Agarwal the founder and chairman of Vedanta Resources says that an independent agency selected Gujarat as conducive location for semiconductor plant. He also spoke about how they will create a hub for manufacturing of iPhones and other TV equipment in Maharashtra - and how the local availability of chip & glass would reduce costs of electronics like laptops by a huge margin. Listen in!
#vedanta #foxconn #moneycontrol #semiconductor #gujarat  "
[Partnered] Sustainability 100+ State Summit – Telangana,1:27:10,Streamed 3 days ago,Streamed 3 days ago,https://www.youtube.com/watch?v=FiEaEpTIeQA,,2,"Live Now: Tune in LIVE to the latest State Summit from S2 of Sustainability100+, presented by AB InBev and CNN-News18, as industry leaders and policymakers discuss Telangana’s advancements in social entrepreneurship and sustainable innovation.
#TogetherForASustainableFuture"
Jyothy Labs: Will The Stock Rebound On Rural Recovery & Improved Market Position? | Ideas For Profit,4:39,3 days ago,3 days ago,https://www.youtube.com/watch?v=Sn9-L2RyAQM,,24,"Jyothy Labs, having a diversified product portfolio, strengthened its core business with focus on distribution and brand investment despite witnessing high inflationary pressure. The company’s revenue grew 22% in the June quarter (excluding HI business) and the raw material basket increased by 14%. MC Pro suggests investors expecting moderate returns and with a longer term view to buy the stock at current levels and add on declines. #jyothylabs #stockmarket #moneycontrol #investors #businessnews "
